id;order_id;task_id;quantity
3c1d06cc-1e61-423f-b40b-74978a87024a;9b2e057b-6dfa-4f42-9966-728239c8ece0;5917cd95-564b-4537-8d16-9e9bf34ef7f0;10
dfc34a73-d92b-4ba0-a349-a810fcd10e31;647e1f92-b7b3-4d62-ae8b-468be8d3304c;26034dfd-a91a-47db-848a-1d379869a6d3;5
590222f1-3f34-45e0-a211-ec08895c2aeb;760a9a92-c317-4dd5-bb6a-b7dabc44aff1;91b5ea8e-36ce-47d4-a35a-d6f0e61e5a8a;6
66877d09-8e1e-42ec-9856-cec41deb829b;1cb3a0b0-2c94-4861-aa5a-c7a7ede97a6e;1a940e45-0b66-4604-bab1-2bc4ddd04623;9
effea37d-63bc-44a2-9165-5d0be8646f2a;a617d98e-2319-4be1-a1cd-6ce395037269;a51ee158-4c76-404a-9b08-d73e9b1a1b40;5
a1c8b66c-ed60-41f4-b9ae-5a74cc93406e;8adc96d6-1bb1-48d4-b1b5-6919abcb7b2c;bb2dc461-4d1b-48b9-bea6-b65c7e6e0e52;7
1c1f6f28-c924-4688-a366-8f7498628640;c635db4d-fb1c-4c69-a67d-9813a4e77fd2;ad012253-2ee7-42c8-a1ad-471334746938;6
163b8009-7224-4c3a-b100-f6662b9a5ced;b50448f1-2937-40b1-9edd-cb4060215a0a;75a99a0c-5bb1-447a-9201-baf6f5c9b4a8;3
4724e695-0184-4126-889e-aa22bf228509;80bb625a-635e-4dc4-877d-3b7da202b1ef;bf96d4e3-3ca0-4d1b-8058-570be8bdd87f;8
39762b7f-7295-44e8-8a5f-e6dc06cbd788;e03e4e60-1472-4750-bca3-3a281ca1d847;8d9e0a5a-7a3d-42c7-a916-35bcfba5b9b2;2
eafcb161-6a84-43a8-84b6-8ffca16bf3c9;db717a06-1c61-4064-aa5f-5fc0ac85e774;437a91cc-95ea-4b29-9d02-95426c5ded6e;1
41e9c232-811f-4af1-9fc5-62808606d034;bd46021c-d696-4e40-855a-e9c8d3999a3c;ae213344-27c1-4db6-839a-9ff4e59d389b;8
c3cb7063-fab1-4d66-bef5-a04ca71ae14b;b49df5cb-c200-4fb8-a3a1-3d17bcaac308;0d9cd6b1-1323-461b-92cb-784c9d0ed680;9
2efc4932-5b16-4767-a2a9-9cc188cc4a23;c761e5ff-9a33-41da-a003-1bbc5ad48aca;af6c07e1-9b37-4f2d-b492-2f4ebeeb26ee;10
41e06da4-9d3d-494b-99ef-b04c272634de;bb13240a-3336-49f7-8af1-5297672ce01a;b3b2a956-3169-48ad-8db7-33536dd80cca;6
49243735-3872-460c-8aac-287f1e7291b8;9aa7843e-6704-4341-8b8e-7f4ea5f82a30;f0b892b6-56c5-4051-8b9d-966c5fab1414;1
7675c712-a6f3-4a61-9b7e-2dde4a3a94bd;a5ebd84b-5da7-494b-a071-5f0f0da1366f;3f630f02-0bc9-4253-82c6-0f0f7be581c1;3
2a237357-9f02-45a3-8848-4e864a43a6a8;684614bc-ade8-45a5-a5af-aaf53c8a0b50;873e2351-75ba-4c09-a6dc-d472d33bf5d6;9
cce5ba68-4d58-4edc-8743-d2b00604aba7;8290d964-4439-485a-ade7-69b9a2bed414;3269eeab-07e0-4a2b-bbd4-51cbb57c7e8b;9
8e479eb6-71cb-47e2-bf06-3485869a7860;5182119e-ceba-4ac6-b27b-37987e80b688;421b342c-ee23-4881-bdd4-739ec7688e35;10
d581fcdb-790d-4186-bcda-06e6851fbc96;b57d8924-2d0a-4a33-9c3c-e5a0c62d23f3;421b342c-ee23-4881-bdd4-739ec7688e35;2
c9afb917-ca6c-40f9-bd77-d6fff2998c7d;5ff99dca-a1d4-44ba-8445-cc67d1b45ecd;b83e962c-2d7c-47e6-97d8-fb66aad0a088;6
